nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
CPSF6	CPSF6	blue	protein_coding	False	0		0
CPT1A	CPT1A	blue	protein_coding	False	0		0
CRCP	CRCP	blue	protein_coding	False	0		0
CREB3	CREB3	blue	protein_coding	False	0		0
CREB3L2	CREB3L2	blue	protein_coding	False	0		0
CREG1	CREG1	blue	protein_coding	False	0		0
CRELD1	CRELD1	blue	protein_coding	False	0		0
CRELD2	CRELD2	blue	protein_coding	False	0		0
CRIM1	CRIM1	blue	protein_coding	False	0		0
CRKL	CRKL	blue	protein_coding	False	0		0
CRLS1	CRLS1	blue	protein_coding	False	0		0
CRMP1	CRMP1	blue	protein_coding	False	0		0
CRPPA	CRPPA	blue	protein_coding	False	0		0
CRTAP	CRTAP	blue	protein_coding	False	0		0
CRYAB	CRYAB	blue	protein_coding	False	0		0
CS	CS	blue	protein_coding	False	0		0
